Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2017;00:00;01:00;4.757,25;1.139;3.299,75;11.997,5;0;191,75;6.457,5;13.284,25;4.776,25;2.236,75;347,5;4.723,25
01.01.2017;01:00;02:00;4.752,25;1.138,75;3.300;12.009,5;0;191;6.456,5;13.689;4.851,5;2.246,5;270,5;4.804,75
01.01.2017;02:00;03:00;4.755;1.137,25;3.295,75;11.736,25;0;188,75;6.457,5;14.169,5;4.563,25;2.209,75;277;4.111
01.01.2017;03:00;04:00;4.743;1.124,5;3.296,25;11.471,75;0;188;6.494;14.404,25;4.671;2.168,75;180;4.474,5
01.01.2017;04:00;05:00;4.747,75;1.122;3.295;11.590;0;188;6.511,75;13.943,5;4.645;2.179;123,75;4.477,5
01.01.2017;05:00;06:00;4.750,75;1.118,25;3.286;11.916,25;0;187,75;6.515,5;13.875,75;4.565,75;2.200;62,25;4.582
01.01.2017;06:00;07:00;4.754,75;1.125,5;3.184;12.343,5;0;187;6.513,5;13.916,75;4.124;2.173,75;159,75;4.427
01.01.2017;07:00;08:00;4.771,5;1.110,5;2.885;12.630,5;0,75;187;6.514,25;13.693;4.183,25;2.204,25;112,75;4.202,25
01.01.2017;08:00;09:00;4.791,5;1.093,75;2.670,5;12.880;274;190;6.514,75;13.490,5;4.158,5;2.253,75;184,25;4.580,25
01.01.2017;09:00;10:00;4.805;1.097,75;2.603,25;12.794,25;2.082,75;190;6.513,25;13.370,5;4.231,25;2.238,25;193;5.173,5
01.01.2017;10:00;11:00;4.820,25;1.097,75;2.312,25;11.770;4.678,75;190;6.505,75;13.357;4.531,75;2.211;119,75;5.448,25
01.01.2017;11:00;12:00;4.818,75;1.090,25;2.178,75;10.666,75;6.830,75;189,5;6.493;13.344,5;4.992,75;2.248;68;6.158,75
01.01.2017;12:00;13:00;4.815,75;1.087,5;1.958;9.911;7.926;189;6.501,5;13.473,25;5.027,5;2.250,5;161,75;5.835,25
01.01.2017;13:00;14:00;4.818,75;1.090,25;1.433,25;9.417;7.084,25;189;6.506,5;13.774,25;4.934,75;2.222;259,5;5.148,75
01.01.2017;14:00;15:00;4.821,5;1.095,25;785,5;8.885,5;4.635,25;189;6.510;13.508,25;5.508,5;2.213;1.457,75;4.929,75
01.01.2017;15:00;16:00;4.829;1.100,75;454,25;8.455;1.660,5;189;6.509,5;13.006,5;6.699,5;2.276,75;2.175;5.541,75
01.01.2017;16:00;17:00;4.837,5;1.098;527,25;8.487;118,25;190,5;6.503,25;12.867,5;7.501;2.349,5;1.534,75;5.791
01.01.2017;17:00;18:00;4.845,5;1.132;595,25;8.923;0,25;191,75;6.498,25;12.412,25;8.127,75;2.421,25;5.109,5;6.146,5
