Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2017;18:00;19:00;4.852,75;1.153,25;755,5;9.042;0;192;6.498,75;12.421,5;8.410,25;2.428,25;5.062,75;6.030,5
01.01.2017;19:00;20:00;4.845,5;1.157;933,75;9.240,5;0;192;6.497;12.413,75;8.623,75;2.439,5;3.706;6.490,25
01.01.2017;20:00;21:00;4.835,75;1.168,5;1.582,5;9.448;0;192;6.498;12.555;8.968,25;2.443;1.615;6.359,5
01.01.2017;21:00;22:00;4.830,5;1.136,25;1.980,5;9.537,5;0;192;6.490,5;12.578,75;9.055,25;2.439;608;6.173
01.01.2017;22:00;23:00;4.824,25;1.150,75;2.446,25;9.805,75;0;192;6.481,5;12.531,25;8.944,25;2.434,75;611;5.635,25
01.01.2017;23:00;00:00;4.825,25;1.148,75;2.712;9.437;0;192;6.479,75;12.535,75;8.237,5;2.400,75;841,75;5.153
02.01.2017;00:00;01:00;4.815;1.167,75;2.958,5;9.387;0;192;6.466;12.959,25;6.253,5;2.339,75;376,5;4.513,5
02.01.2017;01:00;02:00;4.811;1.169,5;2.991;9.772;0;193;6.435,5;13.294,75;5.907,75;2.344,5;174,5;3.970,75
02.01.2017;02:00;03:00;4.814,5;1.163,5;2.647,75;9.779,75;0;193;6.438,25;14.120,5;5.410,5;2.385;238,5;4.096,5
02.01.2017;03:00;04:00;4.815,75;1.163,5;2.396;9.861,25;0;192;6.436,25;14.391;5.659,25;2.420,25;62,25;4.518,25
02.01.2017;04:00;05:00;4.817;1.155,5;2.104,25;9.567,5;0;192;6.438,75;14.070;6.481;2.437,25;229,25;4.970,75
02.01.2017;05:00;06:00;4.820,25;1.154,75;2.037,5;9.488,75;0;192;6.434,75;13.602,75;8.773,25;2.541,25;272,5;5.834,25
02.01.2017;06:00;07:00;4.824;1.148;2.045,25;9.686,75;0;192,25;6.438,5;13.862,25;10.723;2.828,5;815;6.133,25
02.01.2017;07:00;08:00;4.856,5;1.184,25;1.684;9.894,75;0;192;6.436,75;13.984,25;13.007,75;3.185;694;7.235,25
02.01.2017;08:00;09:00;4.884,75;1.169;1.683,5;9.497,5;105,25;192;6.433,5;14.190,25;14.609;3.603;2.020,75;7.719,5
02.01.2017;09:00;10:00;4.849;1.189,5;2.036,5;8.338,5;773,75;192,25;6.436,75;14.399,25;14.740,25;4.183,5;3.440,25;8.180
02.01.2017;10:00;11:00;4.772,75;1.125,5;2.485,75;7.698,75;1.627;192,25;6.437;13.814,5;15.040,25;4.432,5;3.622,25;8.543
02.01.2017;11:00;12:00;4.772,75;1.151;2.781,25;6.897,5;2.401,25;192,5;6.439,5;13.657,25;15.165,25;4.700;3.380,25;8.346
02.01.2017;12:00;13:00;4.771,75;1.193,25;2.858,75;7.067;2.868,25;192;6.436,5;13.318,25;15.271,25;5.087;3.445,5;8.103,5
02.01.2017;13:00;14:00;4.772,75;1.133,25;2.560,25;7.462,5;2.528;192;6.431;13.670,25;15.334,5;5.037,5;1.661,75;7.714
02.01.2017;14:00;15:00;4.773,5;1.095;2.698,75;7.769,25;1.572,25;192;6.441;13.739,5;15.335,25;5.182,5;1.172,75;7.495,25
02.01.2017;15:00;16:00;4.817,5;1.111;2.507,5;7.927,25;556,5;192;6.438,5;13.889,75;15.408,25;5.279,5;2.012,5;7.502
02.01.2017;16:00;17:00;4.819,25;1.116,5;2.609,25;8.267,75;47,75;192;6.442,75;14.022,25;15.388,25;5.410,5;3.036,75;7.759,75
02.01.2017;17:00;18:00;4.837,5;1.106,75;2.893,25;8.968,5;0;192;6.432,25;14.087,25;15.331,75;5.436,75;3.289,25;7.727,75
02.01.2017;18:00;19:00;4.837;1.128,5;3.027,25;10.184,25;0;192;6.424,75;14.387,5;15.189,75;5.129,5;2.407,75;7.829,25
02.01.2017;19:00;20:00;4.833;1.130,25;2.855,5;10.846,75;0;192;6.431;14.617,25;15.019,5;4.980,25;1.510,75;7.813,25
02.01.2017;20:00;21:00;4.814,25;1.122,25;2.853,5;11.041,5;0;192,25;6.427,75;14.632,5;14.542,75;4.329,25;765;7.850,75
02.01.2017;21:00;22:00;4.797,25;1.129,25;2.706;11.444,25;0;193;6.435,25;14.484;13.538,5;3.565,25;935,5;7.231,25
02.01.2017;22:00;23:00;4.776;1.122,75;2.774,75;11.838;0;193;6.436,5;13.643,25;12.269,5;3.083;1.154,25;7.386
02.01.2017;23:00;00:00;4.764,25;1.120;2.649;12.895,25;0;193;6.434,5;12.975,25;10.233,25;2.728,5;291,25;7.247,75
03.01.2017;00:00;01:00;4.734,5;1.177,75;2.526;13.799,75;0;191,75;6.433,25;12.663,5;8.349,25;2.574,25;313,5;6.605
03.01.2017;01:00;02:00;4.729,25;1.197;2.468,5;14.021,25;0;191,75;6.436,25;12.766,25;7.463,5;2.544;161,5;5.617,25
03.01.2017;02:00;03:00;4.724,75;1.170,75;2.565,75;14.412,25;0;191,75;6.376,25;12.273;7.213,5;2.552,5;134;5.613,75
03.01.2017;03:00;04:00;4.715,75;1.132,75;2.666;15.342,5;0;191;6.172,5;11.754,25;7.437,25;2.584,5;13;5.950,75
03.01.2017;04:00;05:00;4.738,5;1.171,5;2.933,25;15.801,75;0;191;6.158;11.854,25;7.527,5;2.618;16,75;6.002
03.01.2017;05:00;06:00;4.745,5;1.186;3.055,25;16.511,5;0;190,5;6.120,5;11.927,5;7.567,5;2.847,25;136,25;5.828,5
03.01.2017;06:00;07:00;4.737,25;1.159,75;3.107,5;17.345,5;0;191,25;6.172;12.112,5;8.660,25;3.046;975,25;6.815,5
03.01.2017;07:00;08:00;4.745,75;1.151,75;3.192,5;18.509,75;0;192;6.164,75;12.309,25;10.335,25;3.226;749,25;7.704
03.01.2017;08:00;09:00;4.799,75;1.188,5;3.207,75;19.113,5;69,5;192;6.164,75;12.710,5;11.316,5;3.318,25;1.892,75;7.903,5
03.01.2017;09:00;10:00;4.801,75;1.183,75;3.232,25;20.336;537,5;192;5.991,25;12.610;11.471,5;3.377;2.003,5;7.762,75
03.01.2017;10:00;11:00;4.797,25;1.186,25;3.235,25;21.961,75;1.166,25;192;5.924,5;12.685,25;11.411,75;3.357,75;1.573,5;7.349,5
03.01.2017;11:00;12:00;4.790,5;1.180,75;3.256,25;23.678;1.817,25;191,5;5.919,5;12.653,25;10.585,75;3.340;1.209,75;7.014
03.01.2017;12:00;13:00;4.786,25;1.122,25;3.246,25;25.054,75;2.147;176,25;5.910,25;12.808,25;9.606;3.325,5;1.011,5;7.142,75
03.01.2017;13:00;14:00;4.753,75;1.107,5;3.257;26.194,5;1.907,75;174;5.914,5;12.593,75;8.758,25;3.484,25;899,5;6.905,25
03.01.2017;14:00;15:00;4.751,75;1.198,75;3.259,5;26.610,25;1.220,25;174;5.916,25;12.127;8.386,75;3.661;1.166,75;6.943,75
03.01.2017;15:00;16:00;4.776,25;1.215,25;3.255,25;27.722,25;438,5;174;5.914,75;12.116,75;8.233,75;3.680,25;457,5;7.201,5
03.01.2017;16:00;17:00;4.776;1.163,5;3.256,5;28.841,25;46,5;174;5.914,5;11.918,25;7.893,25;3.804;1.235,5;6.940,25
03.01.2017;17:00;18:00;4.794,5;1.121,25;3.258,5;29.707;0;174;5.915;11.941,75;8.317,5;3.800;2.427;7.141,5
03.01.2017;18:00;19:00;4.786;1.107;3.259;30.511,75;0;174,25;5.910,75;11.906,75;8.532,75;3.723,5;1.688,5;6.886,75
03.01.2017;19:00;20:00;4.786,25;1.096,25;3.253,75;30.983,25;0;174,25;5.907,75;11.922,5;7.877,25;3.726,5;1.054,75;6.716,5
03.01.2017;20:00;21:00;4.753;1.085;3.222,75;31.418,25;0;175,5;5.898,5;12.173,25;6.596,5;3.470,5;486;6.258,5
03.01.2017;21:00;22:00;4.723,5;1.082,5;3.143,25;31.546;0;176;5.910;12.148,25;5.390,25;2.911,25;423,25;5.589,25
03.01.2017;22:00;23:00;4.714,75;1.087,25;3.200,25;30.758;0;176,5;5.894,75;11.552,5;4.861,25;2.803;958;5.345,5
03.01.2017;23:00;00:00;4.707;1.097;3.213;30.628,5;0;177;5.897,5;10.285;4.381,5;2.661;274,5;5.051,25
04.01.2017;00:00;01:00;4.691;1.117,75;2.884,5;29.379;0;175;5.899;9.630;3.876,75;2.310,5;299;5.200,25
04.01.2017;01:00;02:00;4.631,5;1.094,5;2.774,5;28.516;0;174;5.896,75;9.768,25;3.702,5;2.204,25;471,5;5.009,5
04.01.2017;02:00;03:00;4.590,75;1.060,25;2.537,25;27.995,5;0;178,75;5.894,5;10.123,25;3.526,5;2.297,75;131;5.103
04.01.2017;03:00;04:00;4.576,25;1.060,5;2.861,5;27.280,5;0;180,75;5.888,75;10.426;3.663,5;2.383,75;72,25;4.887,75
04.01.2017;04:00;05:00;4.593,5;1.064,5;2.784;27.418,25;0;180,25;5.887,25;11.036,25;3.623,5;2.433,75;75,5;4.985,25
04.01.2017;05:00;06:00;4.593,25;1.058;2.567;27.788,25;0;184,75;5.885,5;11.835,75;3.966,5;2.547,5;202,5;5.334
04.01.2017;06:00;07:00;4.587,25;1.105;2.687,75;28.468;0;189;5.882,5;12.066,75;5.529,5;2.839,5;775,5;5.909,5
04.01.2017;07:00;08:00;4.581;1.111,75;2.680,5;29.393;0;189,5;5.876,5;11.937,25;6.476,5;3.377,5;1.488,25;7.498,25
04.01.2017;08:00;09:00;4.630,5;1.215,75;2.844;30.068,5;49;189,25;5.881;11.798,5;6.988,25;3.708;1.726,5;7.924,25
04.01.2017;09:00;10:00;4.652,75;1.216,5;2.998,25;29.512;675;189,5;5.881,5;11.858,5;7.314,5;3.668,5;1.591,75;7.971,25
04.01.2017;10:00;11:00;4.662,25;1.193,5;3.038,5;28.866;1.746,75;189,75;5.881,75;11.878,5;7.620;3.674,25;1.662,75;8.266,75
04.01.2017;11:00;12:00;4.659,5;1.136,5;2.915,5;28.870;2.619,25;190;5.882,75;11.895,5;7.755;3.680,75;1.279;8.428,25
04.01.2017;12:00;13:00;4.655,75;1.165,75;3.082;28.802,25;2.968;186,75;5.877,25;11.858,5;8.053;3.649;589;8.386,25
04.01.2017;13:00;14:00;4.653,25;1.156,75;3.129;28.150,5;2.560;186;5.871,75;12.106,25;8.164,25;3.622,5;294,25;8.620,75
04.01.2017;14:00;15:00;4.704,5;1.148,25;2.893,75;27.118,5;1.596;188,5;5.874,5;12.055;8.906;3.689,25;308,25;8.320,25
04.01.2017;15:00;16:00;4.750,25;1.144,25;2.919,75;25.870,25;556;191;5.868,75;12.302,75;9.737;3.898,25;536;8.349,75
04.01.2017;16:00;17:00;4.773,75;1.226,5;3.122,75;24.347;44,25;191;5.931,5;12.370;10.173,5;4.172,75;1.086,25;8.372,25
04.01.2017;17:00;18:00;4.773;1.171,5;3.053,5;22.623,5;0;191;6.054,25;12.375;10.630,25;4.356,25;2.944,75;8.305
04.01.2017;18:00;19:00;4.793;1.140;2.901,5;22.124,75;0;191,75;6.066,75;12.890,5;11.190;4.238,5;1.752,25;7.832
04.01.2017;19:00;20:00;4.775,75;1.159,5;2.827;21.869,25;0;191,25;6.073,5;13.264,25;10.639;3.861,5;523,25;8.183,25
04.01.2017;20:00;21:00;4.750,75;1.166,75;3.101;20.397,25;0;191,5;6.143,75;13.739,5;10.003,25;3.184,5;403,75;7.815,75
04.01.2017;21:00;22:00;4.737;1.143;3.151,25;19.655,25;0;191,75;6.172,25;14.053,5;8.776,75;2.922,5;289,5;7.164,25
04.01.2017;22:00;23:00;4.730;1.158,5;3.172,25;18.335;0;192;6.173,5;14.592;8.259;2.877,75;413,75;6.623
04.01.2017;23:00;00:00;4.709;1.134,25;3.071,75;17.596,75;0;192;6.200,25;14.046,75;8.218,5;2.827,25;483,5;6.222,5
05.01.2017;00:00;01:00;4.668,25;1.137,25;2.818,5;16.598,5;0;192;6.361,75;12.766,25;9.576,25;2.945,5;717,25;6.579,75
05.01.2017;01:00;02:00;4.669,25;1.137,25;2.582;15.384,75;0;192;6.373,25;12.897,75;9.086,75;2.962,5;253,75;6.292,75
05.01.2017;02:00;03:00;4.668,25;1.127,75;2.595;14.629,5;0;192;6.375,5;13.781,25;8.523,25;2.990;31,25;5.504,75
05.01.2017;03:00;04:00;4.659,25;1.133;2.570;13.742;0;191,25;6.388,75;14.074;8.986,75;2.948,75;60,75;5.988
05.01.2017;04:00;05:00;4.650,25;1.134,5;2.394,5;13.248;0;191;6.397,25;13.558,75;10.698,25;3.113;351,5;6.846,5
05.01.2017;05:00;06:00;4.653;1.119,75;2.428,25;12.494;0;190,5;6.398,5;13.821,5;12.429;3.768,5;227,25;7.434,75
05.01.2017;06:00;07:00;4.668;1.160,5;2.241,75;11.573,25;0;191;6.386,25;14.425,75;14.290,75;4.918,25;419,25;8.568,75
05.01.2017;07:00;08:00;4.672,5;1.159,25;2.214,75;11.274,75;0;191;6.377,5;14.893;15.093,5;5.368,75;520;9.447,5
05.01.2017;08:00;09:00;4.700,25;1.159,5;2.311,25;10.787,5;115,5;191;6.362,75;15.386,5;15.943,25;5.996,5;427,5;9.397,5
05.01.2017;09:00;10:00;4.719;1.188,25;2.223;10.162;1.267;191,25;6.381,75;15.306,75;16.041,5;6.220,5;684,75;9.409,5
05.01.2017;10:00;11:00;4.725;1.190,25;2.120;9.797,75;2.990,5;192;6.374;15.489,75;15.613,5;6.060,25;1.063,25;8.939
05.01.2017;11:00;12:00;4.732,75;1.180;1.705,25;10.247;4.275,75;192,25;6.376,25;15.701,25;15.562,5;6.001,75;663;8.652,25
05.01.2017;12:00;13:00;4.733,5;1.213,75;1.227,75;10.886;4.453;192;6.388,75;15.471;15.528,75;6.003,5;1.005,75;8.768,25
05.01.2017;13:00;14:00;4.721,75;1.200,75;883;10.078;3.876;189;6.376,25;15.368,5;15.749,25;6.031,25;821,5;9.004
05.01.2017;14:00;15:00;4.719,75;1.168,5;664,75;9.255,25;2.642;189,25;6.376;15.706,75;15.751;6.198,75;875;8.881,5
05.01.2017;15:00;16:00;4.754,75;1.172;607,25;8.856,25;1.078,75;192,75;6.363;16.266,25;15.828,25;6.547,75;1.304,75;8.828,25
05.01.2017;16:00;17:00;4.759,5;1.198,75;592,25;8.244;97;194;6.354,25;15.943,25;15.901,5;6.421,75;3.224;8.981,5
05.01.2017;17:00;18:00;4.784,25;1.265,25;575,75;7.974,25;0;194;6.351;16.042;15.958;6.654,25;4.498,5;9.292
05.01.2017;18:00;19:00;4.791,5;1.271;479;7.609;0;194;6.344;15.820,25;16.248,75;6.625,25;4.699,75;8.946,5
05.01.2017;19:00;20:00;4.781,5;1.242,25;390;6.944,5;0;194;6.345;16.283,5;16.383;6.426,25;3.841,75;8.957,75
05.01.2017;20:00;21:00;4.755,75;1.134,75;278;6.470,5;0;194;6.349,5;16.546;16.264,5;6.538;1.782,25;8.845,25
05.01.2017;21:00;22:00;4.722,5;1.123,75;206;5.944,75;0;193,5;6.354;16.225,5;15.969,75;6.176,75;580;8.473,5
05.01.2017;22:00;23:00;4.706,25;1.121,25;125,75;5.302,5;0;194;6.360;16.279,25;15.652,75;6.197,5;746,5;8.378
05.01.2017;23:00;00:00;4.689,25;1.126;147,5;4.755,5;0;194;6.362,5;16.860,75;14.229,25;5.533,75;779,25;7.557,5
06.01.2017;00:00;01:00;4.674;1.141,5;229,25;3.970;0;192,75;6.447,25;16.922,5;13.206;5.583,5;295,75;7.081,75
06.01.2017;01:00;02:00;4.672,25;1.134,75;316,25;3.518,25;0;191;6.601,75;16.883;12.296;5.638;267,75;6.920
06.01.2017;02:00;03:00;4.677,75;1.127;387,75;3.178,75;0;191;6.753,75;17.020,25;12.305,25;5.586,75;257,25;6.576,25
06.01.2017;03:00;04:00;4.667,5;1.121,25;424,25;3.008;0;191;6.977;17.113,25;12.550,25;5.438,5;320,25;6.557
06.01.2017;04:00;05:00;4.658;1.133,5;563,5;2.955;0;188,25;7.067;17.122,75;12.649;5.540,5;227,5;6.737,75
06.01.2017;05:00;06:00;4.645,75;1.140,5;642;2.679,25;0;186;7.084,25;17.223,5;13.091,75;5.601,25;198,25;7.371,25
06.01.2017;06:00;07:00;4.645,25;1.132,5;833;2.460;0;186;7.091,75;17.218,25;14.786,25;5.761,5;240,75;7.961,75
06.01.2017;07:00;08:00;4.651,25;1.126;1.106,25;2.467,25;0;186;7.092,25;17.193,5;15.839;6.116,25;817,25;8.594,25
06.01.2017;08:00;09:00;4.657;1.151;1.097;2.273,25;129,5;188,25;7.088,5;17.197,5;16.115,25;6.214,5;1.687,25;9.156,25
06.01.2017;09:00;10:00;4.689,5;1.135;1.158,75;1.844;1.675,25;189;7.092,75;17.208,75;16.287,25;5.995,75;2.206;8.755,75
06.01.2017;10:00;11:00;4.705,25;1.154,5;1.345,5;1.321,75;4.064,75;189;7.090,75;17.232,5;16.318,25;6.043,25;1.287,5;8.744,5
06.01.2017;11:00;12:00;4.704,5;1.149,75;1.573;896,25;6.262,5;188,75;7.067;17.219;16.275,5;5.998,25;623;8.439
06.01.2017;12:00;13:00;4.719,25;1.150,75;1.760;977,5;7.288,25;188;7.135;17.210,5;16.109;5.710,75;347,5;8.728
06.01.2017;13:00;14:00;4.739,75;1.171,25;1.925;1.115,75;6.842,5;190;7.181,5;17.231,75;15.352,25;5.599,5;836,25;8.624
06.01.2017;14:00;15:00;4.764,5;1.203,5;1.992,25;1.206;4.852,75;191,75;7.183,75;17.220;15.118;5.798,25;1.106,75;8.499,75
06.01.2017;15:00;16:00;4.787,25;1.246,5;2.181,5;1.347,75;2.046;192,25;7.152;17.199,5;15.403;5.977,5;2.136;8.571,75
06.01.2017;16:00;17:00;4.793,25;1.216,75;2.313,75;1.718;181,5;193,25;7.155,25;17.238,75;15.531,75;6.026,5;3.636,25;8.718,5
06.01.2017;17:00;18:00;4.792,25;1.207;2.269,75;2.644,75;0;194;7.139;17.269,25;15.527,75;6.031;5.235,75;8.992,25
06.01.2017;18:00;19:00;4.806,75;1.181;2.541;3.583,75;0;192;7.135,75;17.355,5;15.476,25;5.890;3.706,25;9.093,75
06.01.2017;19:00;20:00;4.806;1.175;2.823,5;4.508,75;0;189;7.193;17.372,5;15.349,25;5.954,25;1.831;9.058,75
06.01.2017;20:00;21:00;4.786,75;1.167,75;2.882,75;4.929;0;191;7.212,5;17.414,75;14.258,75;5.643,75;1.053;7.994,75
06.01.2017;21:00;22:00;4.753,25;1.150;2.905,25;5.073,5;0;191,5;7.224,75;17.429,25;13.331,5;4.862,25;1.001;7.331,75
06.01.2017;22:00;23:00;4.761,25;1.146,25;2.949,25;5.445,5;0;192,25;7.238,25;17.396,5;12.952,25;4.483,5;696,5;7.370
06.01.2017;23:00;00:00;4.760,75;1.129,75;2.954,5;6.024;0;188,75;7.246;17.392,25;11.506,75;4.038;527;6.286,5
07.01.2017;00:00;01:00;4.736;1.131,75;3.056,75;6.614,75;0;187;7.261,5;17.223,75;10.601,75;3.869,25;377,5;6.959
07.01.2017;01:00;02:00;4.726;1.121,75;3.082,5;7.105,25;0;187;7.173,25;17.232,5;9.616;3.872,5;140,75;7.003,5
07.01.2017;02:00;03:00;4.732,75;1.099,5;3.110;7.536,5;0;187;7.188,5;16.974,25;9.280,5;3.877,25;61;6.849,25
07.01.2017;03:00;04:00;4.714,5;1.087;3.143;7.739,75;0;187;7.498,75;17.079;9.166,75;3.866;52,5;6.606,75
07.01.2017;04:00;05:00;4.721,5;1.070,75;3.163,75;8.180,25;0;187;7.788;17.056,5;8.723,75;3.880,5;103;6.189,25
07.01.2017;05:00;06:00;4.710,75;1.070,5;3.115,25;8.758,25;0;187;7.902,25;17.081;8.410,25;3.870,5;24,25;6.058,75
07.01.2017;06:00;07:00;4.706,5;1.068,25;2.894;9.335,25;0;187;7.913,5;17.306,25;7.405,75;3.841;32,5;6.075,25
07.01.2017;07:00;08:00;4.710,75;1.068,5;2.755,5;9.665,25;0;188;7.919,25;17.426;8.351,25;3.914,25;753,25;6.906,5
07.01.2017;08:00;09:00;4.740,25;1.042;2.494,5;10.239,25;93;190,5;7.928,75;16.839,75;9.488,25;4.033,5;518,75;7.399,25
07.01.2017;09:00;10:00;4.745,25;1.057,25;2.324,25;10.439,25;657;192;7.946,25;16.676;10.323,25;4.036,5;990;7.271,75
07.01.2017;10:00;11:00;4.735,5;1.062,25;1.954,5;10.302,25;1.372,75;192;7.963,75;17.142;11.059,25;3.844,5;1.028,5;7.446,5
07.01.2017;11:00;12:00;4.733;1.050,75;1.949,75;9.845,5;1.773,25;191,75;7.978,5;16.980,5;11.443;4.010,5;1.414,75;7.498
07.01.2017;12:00;13:00;4.751,25;1.061,25;1.685,5;9.329;1.786;192;8.098;17.188,25;11.667;3.989,25;1.663,75;7.668
07.01.2017;13:00;14:00;4.758,5;1.052,75;1.575,25;9.092;1.474,25;191,75;8.314,5;16.920,75;11.850,25;3.956;1.002,75;7.500
07.01.2017;14:00;15:00;4.751,5;1.076,5;1.890,75;8.791,25;876,25;192;8.334;16.697,25;12.168,5;3.945,75;1.706,75;6.946,5
07.01.2017;15:00;16:00;4.769,25;1.076,25;2.181,5;8.607;325,25;192;8.412,75;16.597,5;12.568,75;3.904,5;2.120,75;7.097,5
07.01.2017;16:00;17:00;4.779;1.095,5;2.191;8.559,75;28,75;192;8.424,5;16.342,75;12.591,75;3.933;3.336,25;7.123,5
07.01.2017;17:00;18:00;4.787,5;1.156,75;2.117,75;7.981,5;0;191,25;8.470,75;16.746,75;12.937,75;3.941,5;4.183,25;7.258,5
07.01.2017;18:00;19:00;4.812;1.151,75;2.097;7.252,75;0;191,5;8.498;17.166,5;13.015;3.922,75;3.820,75;7.580,5
07.01.2017;19:00;20:00;4.833;1.096,75;2.264,5;6.517,5;0;191;8.509,25;17.274;12.843,5;3.924,5;3.074,5;8.016,75
07.01.2017;20:00;21:00;4.811;1.097,25;2.222,75;6.379;0;191,75;8.521,25;17.033;12.647;3.809,75;1.712,5;7.903,5
07.01.2017;21:00;22:00;4.770,25;1.101;2.300,75;6.385,5;0;191,75;8.536,75;16.555,5;12.041,25;3.796,25;802,5;7.833,25
07.01.2017;22:00;23:00;4.758;1.086,5;2.160;6.046;0;192;8.543;16.847,25;12.141,5;3.640,25;836;7.494
07.01.2017;23:00;00:00;4.762,5;1.100,75;1.794,75;5.832,75;0;192;8.555,5;17.173,25;11.581,5;3.546,25;420;6.749
08.01.2017;00:00;01:00;4.766;1.117,75;1.377,5;5.329,5;0;190,5;8.598;17.406,75;11.088,25;3.510,75;553,75;6.558,25
08.01.2017;01:00;02:00;4.757,25;1.119,5;1.072,75;4.674,5;0;189;8.675,5;17.067,75;11.141;3.473;549,25;7.046,75
08.01.2017;02:00;03:00;4.745,25;1.123,25;762,5;3.957;0;189;7.864,75;17.021,75;11.656,75;3.519,5;176,25;6.836
08.01.2017;03:00;04:00;4.730,5;1.146,75;601,5;3.275,25;0;188,5;7.827,5;17.124,5;12.162;3.510,25;200;6.375
08.01.2017;04:00;05:00;4.730;1.114,25;370,5;2.991;0;189,25;7.798,25;17.193,5;12.275,25;3.543,25;64,5;6.747,5
08.01.2017;05:00;06:00;4.733,25;1.080;205,75;2.684;0;188;7.845,5;17.644,25;11.967,5;3.452,75;38,75;6.801,25
08.01.2017;06:00;07:00;4.727,25;1.075;79;2.482;0;186;7.849;17.855;11.510;3.535,25;73,75;6.523,5
08.01.2017;07:00;08:00;4.734,25;1.082,5;67,5;2.097,5;0;186,25;7.857;17.575,75;11.977;3.569;399;6.520,5
08.01.2017;08:00;09:00;4.742,75;1.108,25;39,75;1.498,5;22,75;188,5;7.864,25;17.535,75;12.819,5;3.653,75;909,5;6.789,75
08.01.2017;09:00;10:00;4.747,25;1.191,75;30,5;1.120,75;239;188;7.865,25;17.898,75;13.359,75;3.810,5;736,75;6.888
08.01.2017;10:00;11:00;4.771;1.123,25;63,5;851,5;619;187;7.879,5;17.897,25;13.723,5;3.830,5;1.161,75;7.018
